年度,区分,学科,時間割CD,履修期名,曜日,時限,科目名,単位,対象学年,教員名,校舎記号,校舎,教室名,教室,原本ファイル
2026,理工学部,土木工学科,A11A,前期,月,1,土木工学インセンティブ {前期隔週}↓連続２時限【前期隔週】,2,1,関・中村 他,F,船橋校舎,階段教室(大),階段教室(大),1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A12M,前期,月,2,地震工学,2,4,小林･小田,S,タワースコラ,S404,S404,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A11A,前期,月,2,土木工学インセンティブ {前期隔週}↓連続２時限【前期隔週】,2,1,関・中村 他,F,船橋校舎,階段教室(大),階段教室(大),1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13M,前期,月,3,応用水理学 {1},2,3,高橋・佐藤（柳）,S,タワースコラ,S401,S401,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,3,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,105,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,3,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,113,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,3,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,134,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,3,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,143,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13K,前期,月,3,基礎物理学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,岡田・坂元　他,F,船橋校舎,105 113 134 143 144,144,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13L,前期,月,3,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,伊藤・岡田　他,F,船橋校舎,8号館実験室(819 826 829),819,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13L,前期,月,3,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,伊藤・岡田　他,F,船橋校舎,8号館実験室(819 826 829),826,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,P13L,前期,月,3,基礎化学実験 {年間隔週}↓連続２時限【年間隔週】,2,1,伊藤・岡田　他,F,船橋校舎,8号館実験室(819 826 829),829,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13A,前期,月,3,測量実習Ⅰ {1}↓連続２時限,1,1,羽柴・園部　他,F,船橋校舎,測量実習ｾﾝﾀｰ(演習室AB),測量実習ｾﾝﾀｰ(演習室AB),1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13B,前期,月,3,デザイン基礎・演習 {2}↓連続２時限,2,1,関・三友,F,船橋校舎,1325 階段教室（小）,1325,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
2026,理工学部,土木工学科,A13B,前期,月,3,デザイン基礎・演習 {2}↓連続２時限,2,1,関・三友,F,船橋校舎,1325 階段教室（小）,階段教室（小）,1_理工学部_01_土木工学科_0_2026年_時間割表1面_20260402195323.xls
